date,precipitation,wind,weather,max_temp,min_temp
2012/01/01,0.0,4.7,drizzle,55.0,41.0
2012/01/02,10.9,4.5,rain,51.1,37.0
2012/01/03,0.8,2.3,rain,53.1,45.0
2012/01/04,20.3,4.7,rain,54.0,42.1
2012/01/05,1.3,6.1,rain,48.0,37.0
2012/01/06,2.5,2.2,rain,39.9,36.0
2012/01/07,0.0,2.3,rain,45.0,37.0
2012/01/08,0.0,2.0,sun,50.0,37.0
2012/01/09,4.3,3.4,rain,48.9,41.0
2012/01/10,1.0,3.4,rain,43.0,33.1
2012/01/11,0.0,5.1,sun,43.0,30.0
2012/01/12,0.0,1.9,sun,43.0,28.9
2012/01/13,0.0,1.3,sun,41.0,27.0
2012/01/14,4.1,5.3,snow,39.9,33.1
2012/01/15,5.3,3.2,snow,34.0,26.1
2012/01/16,2.5,5.0,snow,35.1,27.0
2012/01/17,8.1,5.6,snow,37.9,32.0
2012/01/18,19.8,5.0,snow,32.0,27.0
2012/01/19,15.2,1.6,snow,30.0,27.0
2012/01/20,13.5,2.3,snow,45.0,30.0
2012/01/21,3.0,8.2,rain,46.9,37.9
2012/01/22,6.1,4.8,rain,44.1,36.0
2012/01/23,0.0,3.6,rain,46.9,34.0
2012/01/24,8.6,5.1,rain,50.0,36.0
2012/01/25,8.1,5.4,rain,48.0,39.9
2012/01/26,4.8,4.8,rain,48.0,34.0
2012/01/27,0.0,1.4,drizzle,44.1,28.0
2012/01/28,0.0,2.2,rain,44.1,33.1
2012/01/29,27.7,4.5,rain,48.9,39.0
2012/01/30,3.6,5.1,rain,46.9,43.0
2012/01/31,1.8,3.9,rain,48.9,43.0
2012/02/01,13.5,2.7,rain,48.0,37.9
2012/02/02,0.0,2.6,sun,46.9,35.1
2012/02/03,0.0,5.3,sun,57.9,36.0
2012/02/04,0.0,4.3,sun,60.1,41.0
2012/02/05,0.0,2.9,sun,57.0,35.1
2012/02/06,0.0,5.0,sun,61.0,35.1
2012/02/07,0.3,5.3,rain,60.1,46.0
2012/02/08,2.8,2.7,rain,50.0,41.0
2012/02/09,2.5,2.4,rain,52.0,46.0
2012/02/10,2.5,3.0,rain,55.0,44.1
2012/02/11,0.8,3.4,rain,48.0,42.1
2012/02/12,1.0,1.3,rain,46.9,41.0
2012/02/13,11.4,1.4,rain,45.0,39.9
2012/02/14,2.5,3.1,rain,44.1,34.0
2012/02/15,0.0,1.8,drizzle,45.0,33.1
2012/02/16,1.8,2.1,rain,45.0,37.9
2012/02/17,17.3,3.4,rain,50.0,39.9
2012/02/18,6.4,8.1,rain,44.1,39.0
2012/02/19,0.0,4.7,sun,44.1,36.0
2012/02/20,3.0,2.9,rain,46.0,35.1
2012/02/21,0.8,7.5,rain,50.0,46.0
2012/02/22,8.6,5.9,rain,50.0,37.0
2012/02/23,0.0,3.9,sun,46.9,37.0
2012/02/24,11.4,3.5,rain,44.1,39.9
2012/02/25,0.0,6.4,rain,45.0,37.0
2012/02/26,1.3,3.4,snow,41.0,30.0
2012/02/27,0.0,3.0,sun,44.1,28.0
2012/02/28,3.6,4.2,snow,44.1,30.9
2012/02/29,0.8,7.0,snow,41.0,34.0
2012/03/01,0.0,3.1,sun,43.0,34.0
2012/03/02,2.0,5.1,rain,44.1,39.0
2012/03/03,0.0,7.0,sun,54.0,44.1
2012/03/04,0.0,5.6,rain,51.1,44.1
2012/03/05,6.9,6.2,rain,46.0,34.0
2012/03/06,0.5,2.7,snow,44.1,32.0
2012/03/07,0.0,2.7,sun,48.0,28.9
2012/03/08,0.0,2.5,sun,60.1,33.1
2012/03/09,3.6,2.8,rain,48.9,41.0
2012/03/10,10.4,3.4,rain,45.0,43.0
2012/03/11,13.7,5.8,rain,44.1,37.0
2012/03/12,19.3,6.2,snow,46.9,33.1
2012/03/13,9.4,5.3,snow,42.1,33.1
2012/03/14,8.6,4.7,rain,46.0,34.0
2012/03/15,23.9,5.8,snow,52.0,42.1
2012/03/16,8.4,5.1,rain,48.0,39.0
2012/03/17,9.4,3.8,snow,50.0,33.1
2012/03/18,3.6,2.7,rain,41.0,30.9
2012/03/19,2.0,3.0,rain,45.0,30.0
2012/03/20,3.6,6.4,rain,46.0,36.0
2012/03/21,1.3,2.5,rain,48.0,34.0
2012/03/22,4.1,2.1,rain,50.0,35.1
2012/03/23,0.0,2.8,sun,54.0,33.1
2012/03/24,0.0,5.2,sun,59.0,37.9
2012/03/25,0.0,2.7,rain,55.9,36.0
2012/03/26,0.0,4.3,drizzle,55.0,43.0
2012/03/27,4.8,3.8,rain,57.9,44.1
2012/03/28,1.3,5.9,rain,51.1,45.0
2012/03/29,27.4,4.4,rain,50.0,43.0
2012/03/30,5.6,4.7,rain,48.9,41.0
2012/03/31,13.2,3.4,rain,50.0,37.0
2012/04/01,1.5,6.8,rain,48.0,39.9
2012/04/02,0.0,3.1,sun,62.1,39.9
2012/04/03,1.5,3.1,rain,53.1,37.9
2012/04/04,0.0,2.1,sun,51.1,37.0
2012/04/05,4.6,1.8,snow,48.9,37.0
2012/04/06,0.3,2.6,rain,52.0,37.9
2012/04/07,0.0,4.3,sun,61.0,35.1
2012/04/08,0.0,4.1,sun,70.0,45.0
2012/04/09,0.0,2.1,sun,68.0,43.0
2012/04/10,0.0,3.2,rain,64.0,48.0
2012/04/11,2.3,2.6,rain,52.0,45.0
2012/04/12,0.5,2.6,rain,57.0,42.1
2012/04/13,0.0,4.0,drizzle,59.0,39.0
2012/04/14,0.0,3.0,sun,60.1,37.9
2012/04/15,0.0,2.9,rain,61.0,45.0
2012/04/16,8.1,5.8,rain,55.9,44.1
2012/04/17,1.8,2.0,rain,50.0,39.9
2012/04/18,1.8,3.9,rain,55.9,45.0
2012/04/19,10.9,2.6,rain,57.0,41.0
2012/04/20,6.6,2.7,rain,55.9,44.1
2012/04/21,0.0,2.3,sun,68.0,39.9
2012/04/22,0.0,2.6,rain,73.9,46.9
2012/04/23,0.0,3.5,sun,71.1,48.0
2012/04/24,4.3,2.8,rain,57.0,50.0
2012/04/25,10.7,2.6,rain,62.1,48.0
2012/04/26,3.8,5.2,rain,57.0,44.1
2012/04/27,0.8,4.8,rain,55.9,43.0
2012/04/28,0.0,2.5,drizzle,61.0,46.9
2012/04/29,4.3,1.6,rain,60.1,48.0
2012/04/30,4.3,8.0,rain,55.0,45.0
2012/05/01,0.5,6.4,rain,53.1,43.0
2012/05/02,0.5,2.5,rain,55.9,42.1
